Text,Result(ML),Actual results
"Who would have guessed a year ago that perhaps the best compliment of the day would be, ""I love your face mask!""   #covid19 #facemask #year2020 #compliment #neighborhood #walking",pro,neutral
"@jjsmokkieBOY57 @TheTweetOfGod is this true, you do not wear a face mask?",pro,neutral
nan,unrelated,neutral
"PSA from my partner (medical professional): ""Wearing a mask only over your mouth is like wearing a condom on your balls.‚Äù   Cover your nose people!",pro,pro
"@DrJayRichards It helps for those over 60 to stay isolated, get a lot of vitamin D and C, get in shape, and wear masks and eye cover. Tens of thousands died in nursing homes.",pro,pro
@aubrey_huff That was F‚Äôing hell wearing my mask I wear with my patients in friggin Costco I was about to faint. My heart was racing! Sick of it! Couldn‚Äôt wait to get in my AC of my car! Having that mask on all that time made me a bitch!! Sick of it!!,neutral,against
@daryl_spear Camila rather fight me than wear her mask. That‚Äôs why she stays her ass home ü§£ü§£ü§£,pro,pro
@MalarchukSlit @FrankLuntz Teachers can wear masks and use alcohol which kills the virus in 30 seconds on their hands If they don't touch their faces they won't get sick It's not rocket science,pro,pro
@iche_me @BridgetSterli19 @realDonaldTrump @honeywell @GOP Making a point of not wearing masks but wearing goggles üôÑ and did anyone notice that all the other men wore their jackets unbuttoned like @realDonaldTrump?  But they don‚Äôt have fat tummies li,pro,neutral
@kilmeade Some people can‚Äôt wear masks for health reasons. They don‚Äôt make masks with oxygen supply. People with asthma who take medicine daily need to maintain blood/oxygen levels and not breath in carbon dioxide they exhale which masks increase. Can,neutral,neutral
@esglaude I watched footage of black folk enjoying Cinco de Mayo in Atlanta and as far as l could tell not a single one was wearing a face mask despite the fact that it was required as was social distancing. This video was part of a piece that 60% of covi,pro,pro
@MomsThoughts It‚Äôs Twitter. Just right it off. I work with 20 something guys. Work provides mask. The 20 somethings don‚Äôt wear them cause it‚Äôs not manly. Manly men don‚Äôt need ‚Äòem. lol. It‚Äôs like how is protecting others make a person a wuss? I,pro,pro
"@kuhriss7 @manda_bradyyy @stacylynn575 @chelseahandler They said that when the CDC was recommending sanitation and those feeling sick to wear a mask/stay home. Trump said it was contained when there was commmunity spread, that‚Äôs a huge difference, he ca",pro,pro
@thisbearbites @hoopsvista @Scuv3P @leyleilelly @deluccia_nj @NYGovCuomo WHO was wrong for some information because South Korean doctors do recommend people wear masks in addition to social distancing especially when you're outside. That's why SK has a lo,pro,pro
"@cougchic Aww, cutie! üòò We‚Äôre doing our thing, wearing masks, social distancing, go on walks, cooking &amp; baking.üë©‚Äçüç≥ Jason‚Äôs mom took a fall, she was in hospital several days &amp; we couldn‚Äôt visit her. She‚Äôs back home now but it was",pro,pro
"kc_k89 whatever, hun. wear a mask before You get ready to arrest people.",pro,pro
...artificial pine. You watch as the table/chairs get a healthy spray of cleaner. The entire vicinity wreaks. The busser starts apologizing but you can't hear exactly what they say because he's wearing a face mask &amp; goggles meant to protect the eyes f,pro,unrelated
"krismeetsworld yes,  all for haircut to wear a mask for protection.",pro,pro
Some people can‚Äôt wear masks for health reasons. They don‚Äôt make masks with oxygen supply. People with asthma like me who take medicine daily need to maintain their blood/oxygen levels and not breath in the carbon dioxide they exhale which masks incre,neutral,neutral
"@realNastyJay81 @RadioFreeTom @BFriedmanDC Every single year before COVID tens of thousands would die of influenza. You didn't wear masks then. You didn't quarantine. Didn't during Swine flu, SARS or MERS. So please don't pretend you're somehow virtuous n",pro,against
"3k dead 300k infected PER DAY in US bu early June....  Wear masks, acoid people like... the plague.",pro,pro
"since this tweet is still getting attention, stay the fuck home. stop going out for non essential trips. respect healthcare workers and all essential workers. wear a mask when you‚Äôre out. do your part and stay home if you can. help flatten the curve!!!",pro,pro
Surfing Netflix for something to watch while working on some face masks and discovered Circus of Books. These people are wonderful! Love the 70s &amp; 80s footage of gay Hollywood ‚ù§Ô∏è,pro,unrelated
So whose gonna be the celeb that wears a swarovski crystal face mask at the 2021 #MetGala?  I‚Äôm gonna say Ansel Elgort.,pro,neutral
@laurenbrock100 @katiejoweldy @clarkron9 @masterbaster @TimRunsHisMouth @nathanfletcher @CDCgov @CDCemergency @RivCoDoc @KatieHill4CA First sentence use the word SUGGEST  Masks are ineffective in spreading viruses.  You wear a mask!  I'm fine with that.  ,pro,against
"@charisfry1 The stupidity is PEAKING if ppl don‚Äôt wear face masks out here they get fine $1,000 ‚ò†Ô∏è‚ò†Ô∏è‚ò†Ô∏è",pro,pro
@talltodd65 @BuzzFeedNews Mask wearing by public has no reduction in infection rate and there's a real cost in outfitting everyone with masks and the enforcement which will inevitably lead to these very unfortunate situations.   Local paper won't even pri,pro,against
"Also, the masks are mostly to protect OTHER people. So no, your decision not to wear one doesn't just affect you. If you get infected, you might not die, but the people you are around might. So, I hope your pride and ""rights"" are enough to save you from t",pro,pro
Just got home from work and omg my feet are SORE. My body just ain‚Äôt used to standing up for 8 hours no mo üò™ also wearing a mask on my face all day outside in the sun was torture üíÄ,neutral,neutral
Joanna_Resists i wear a mask. If anyone gets too close i start coughing.,pro,pro
Don‚Äôt come on here praising health care workers for their hard efforts and sacrifices if your dumbass isn‚Äôt wearing a mask! GET BENT!,pro,pro
This guy just walked into my work wearing a Crown Royal bag as mask üíÄ,pro,neutral
"No matter what side you‚Äôre on about reopening, can we all agree that we are living in a crazy reality? If you told me 3 months ago that I wouldn‚Äôt be able to sit down in a restaurant or walk outside without wearing a mask, I would‚Äôve asked what you‚",pro,neutral
@earlballtv Cover your junk with a face mask and I don‚Äôt see anything wrong with it,pro,unrelated
"@brat2381 Another GOP boob that either hasn't been informed that wearing a mask is your way of caring for other, so that you don't infect them if you are infected and asymptomatic, or these GOP POSs just don't give a shit.",pro,pro
@realDonaldTrump @honeywell And you couldn't wear a mask.,pro,pro
"@dkbgeek @AdamParkhomenko Unfortunately, masks are basically to prevent the person wearing it from spreading to others. It‚Äôs likely won‚Äôt help them much from getting infected. I can guess it is a shortage of PPE, but don‚Äôt know. If they had access, ",pro,pro
"@Crumbs_Whiskers thanks so much! I ordered six of your face masks - they're super comfortable and breathable, I love them! And they came really fast! and supporting the kittens is the best part!",pro,pro
@realSoCalledMom @Eleven_Films Congratulations!!! Now put a face mask and get a job :),pro,pro
Not wearing a mask when you‚Äôre outside is a big FUCK YOU to all essential workers. Don‚Äôt be an asshole.,pro,pro
"stevenmnuchin1 @axlrose Solved many problems within the company of which I work, who supplies products for the military, while wearing a mask and social distancing, and I continue to resist the Fascist regime.  Also, will vote Blue in November to take bac",pro,pro
@psumule @K_Dogg59 @MarkMaddenX @rlough22 I‚Äôve been going to work and jogging outside almost this entire lockdown. Wear my mask when appropriate. Paying an entire population to stay home and self-isolate is not practical.,pro,against
@nbcsandiego As long as I wear a mask I don‚Äôt care what others do tbh,pro,pro
"@amzieaa @FabricOfOrleans @JuliaDavisNews @Ninainnac Wearing a mask is like sneezing into your elbow. But also talking into your elbow. The mask doesn't have to fit perfectly or be handled perfectly in order to help, was the point of the paper.",pro,pro
@BTN49093417 @R2geek I don't wear a mask and I was at the hospital a couple of weeks ago and most of the staff went with.  This keeps the Immune system strong.,pro,against
"@hausofmitski @DamnGho @MyInnerMonolog9 @shelbygrad You‚Äôre not likely to pick it up from somebody who‚Äôs wearing a mask. Oh, and the sky is blue, too. You want a source for that?? Ha!! You should just sit this one out?? You‚Äôre too gullible and easily",pro,against
thomaskaine5 Oceanside California.  Some people wearing masks but too Few in My opinion. and people are not doing enough social distancing.,pro,pro
@texas_jd @MollyJongFast I'm not a maga. I wear a mask all the time. And I'm in Dialysis.,pro,pro
Wearing a mask is only about 1 thing: protecting yourself &amp; others from a deadly disease. It‚Äôs not about showing how strong or weak you are. It‚Äôs not about an infringement of personal liberties. To people trying to turn this medical issue into a p,pro,pro
Damn you literally gotta wear your mask in every fuckin store now üò†,pro,neutral
Did I stay up until 4 am sewing face masks? Sure did. Does time exist? Not on your life.,pro,pro
@hausofmitski @MyInnerMonolog9 @shelbygrad ‚ÄúCompassion‚Äù People would be able to work if their businesses weren‚Äôt shut down. Just wear masks!,pro,pro
@mryoobert They reopened some of our beaches but some people were not wearing their masks and didn‚Äôt social distance üëπ,pro,pro
rjsmith169 nobody wearing masks...,pro,neutral
wearing a mask in this heat almost killed me üò≠,neutral,neutral
"@sleandres It doesn‚Äôt look good. We cant be de opening a few beaches, ask people to wear a mask shopping. How are we to civilly open a country safely??",pro,against
wear a mask &amp; shake that ass,pro,pro
"@melissaabrams_c @ScudderGen That‚Äôs exactly who isn‚Äôt wearing masks in our area too. White men 30-50, do they think they are all the exception? Selfish ppl that don‚Äôt know how to be part of a community, disgusting!",pro,pro
"@joelgarry @empoprises One addition. As long as you are not in the path of the plane/virus, you will be fine. With virus, you can't see it coming. So best to just wear a mask.",pro,pro
@CAgovernor @GavinNewsom @CAPublicHealth There is little social distancing on beaches and in parks. In Orange county many people don't wear masks. #TheOC beaches are a nightmare in normal times - they ALLOW dangerous games &amp; rarely enforce any safe be,pro,pro
Masks don't work against Covid 19. They make matters worse. There is lots of scientific evidence about this. Stop wearing masks!,against,against
It‚Äôs gonna be weird when we don‚Äôt have to wear masks lol,pro,pro
"@bethanyshondark by the way, my brother works in radiology in a COVID-ridden hospital. he and his co-workers are wearing garbage bags they disinfect b4 removing. still only one n95 mask and it goes into a paper bag at the end of each shift. experiences ou",pro,pro
@BillKristol That hard working guy wearing a mask is the best of America.  He abide by the rules.  üòä,pro,pro
"But its uncomfortable its an n95! Its not supposed to be comfortable! If you care about comfort, wear a surgical mask or make a cloth one! Or better yet, stay home!",pro,pro
‚ÄúSwipe rights are for if ya face mask on tight ‚Äú #tindertales #2020Vision,pro,pro
koalafiednation @JasonSlossFOX5 @fox5sandiego @SDSheriff @CityofSantee Illegal order to wear a mask? is That like the Illegal order to wear clothes?,pro,against
realDonaldTrump Trump has reached a new low -- not even willing to wear a face mask in a face mask factory.,pro,pro
@realDonaldTrump Set an example and wear an f‚Äôin mask,pro,pro
"The building blocks of our ""immune system"", are VIRUS and BACTERIA!!  If you keep wearing masks and gloves everytime you go out, it ONLY will reduce your ""bacteria flora"". You will eventually get sick from your ""own virus"". WAKE UP!!!  COVID19 = POPULATIO",pro,against
bro wearing a mask while wearing glasses is sooo annoying,pro,neutral
‚ÄúI‚Äôm not wearing a mask. I‚Äôm building antibodies.‚Äù  I just read that on Facebook in the comments of a friend‚Äôs post. ü§¶‚Äç‚ôÄÔ∏è  #thatisall,pro,against
"@DickieNuggz @SThinksalot @barstoolsports Same guy will wear a mask on Haloween, no problem. People just want something to complain about. Wear the mask for 20 minutes while your inside then take it off. Simple.",pro,pro
its been a really eye opening experience seeing the amount of people that get upset when theyre told they have to get their temperatures taken and wear masks before entering the hospital ü§¶üèª‚Äç‚ôÄÔ∏è,pro,pro
"@zeneca2020 @theoperaman04 @CAgovernor @GavinNewsom @CAL_FIRE @CALFIRE_CHIEF While you complain that Newsom is selling out to China, the mayor of New York is allowing white neighborhoods to congregate while black neighborhoods are being harassed by the po",pro,pro
Just wear the damn mask people.,pro,pro
"leanne_cali @TheRascal2010 Trump again violates social distancing and wearing a mask and tops it off with various lies and denials of responsibility. the cupboard was not bare when he was elected and even if it was, it was his duty to investigate and time",pro,pro
"@matthewdmarsden @mrntweet2 A smart tweeter name CHIZ said ‚Äú if you wear a mask alone in your car, slap yourself in the back of the head for the rest of us!",pro,neutral
"@diss0nanced I think they‚Äôll be solid black or white. I think they will give everyone one (maybe two) masks, but you could also wear your own solid black or white mask if you want to. I assume it‚Äôll be similar to what they did with the water bottle ho",pro,unrelated
@AnneYour @GavinNewsom Reading the bill of rights isn‚Äôt going to help control the spread of a highly contagious virus &amp; not overwhelm the health care facilities.  The protesters can‚Äôt even be bothered to abide by the simplest guidelines of simply ,pro,pro
This also goes for anyone wearing masks so that tje top comes right underneath the nose...,pro,pro
"@FrankCundiff @killersim00 @efacc Oh yeah, several times now ... the T-Rex gets a little too close for my liking, and doesn‚Äôt even wear a mask.",pro,pro
"i fucking hate temecula dude, too many entitled white people here. i‚Äôm walking out of walmart &amp; this lady is screaming at this security guard because she doesn‚Äôt want to wear a mask, and proceeds to shove a walmart lady because she wouldn‚Äôt let ",pro,pro
I don‚Äôt know who needs to hear this but masks only work if you‚Äôre wearing them (and they‚Äôre covering both your mouth AND your *nose*). üò∑,pro,pro
"Did she wear a mask when she left the house to find Earl? Did Earl, his brother, and the hoes wear masks during their pandemic orgy?",pro,pro
Has an aluminum nose bridge and an interior pocket to insert a filter so it's pretty legit as far as cotton face masks go. I can stan/support Jason Momoa and protect my poor raisin lungs at the same time ü•∫,pro,pro
"@thomaskaine5 Sadly, folks in Southern California seem to think that because it‚Äôs sunny, they are immune to diseases. I see 1/3 to 1/2 the people wearing masks in public.",pro,pro
realDonaldTrump @honeywell are you thanking them for letting you walk around without a face mask?,pro,neutral
"@SacPolice why weren't police officers at capitol wearing masks or gloves?  The protesters were screaming, in the faces of the officers and there was much touching.  We wouldn't be surprised if some of those officers get the virus!  Protective equipment s",pro,pro
@LavendersGhost @AshwinOrie @chicagosmayor @LoriLightfoot They can stay home and wear a mask. The rest of us shouldn't be locked away because your family is vunerable.,pro,against
"@DeadlineWH @kavitapmd @NicolleDWallace Respect them by not making them martyrs ... WEAR MASKS, SOCIAL DISTANCE, STAY HOME, GET TESTED .. whatever SCIENCE-FACT RECOMMENDS !",pro,pro
"@NYGovCuomo Thank our HERO RN‚Äôs by NOT making them martyrs ... PROTECT THEM: STAY HOME &amp; SOCIAL DISTANCE, WEAR MASKS, PROVIDE PPE‚Äôs &amp; PRESSURE GOVT. &amp; LAWMAKERS FOR PPE‚ÄôS, RAPID TESTING, EXPAND TESTING, HAZARD PAY ETC!!!",pro,pro
@Ellethevillain -Already for me but I sure as hell am not going to be the reason some 4 year old has to ask where grandma is since they don‚Äôt actually have a great concept of death yet. My glasses also fog up instantly from wearing the masks since I get,pro,pro
"Just a reminder that even tho I‚Äôm on a ‚Äúroad trip‚Äù I am heavily practicing social distancing, wearing a mask in public, washing my hands, etc. we are simply driving the Cali coast and seeing as much nature as we can. What we‚Äôre doing rn is safer t",pro,pro
@cruzananddiet @PaineTruth You could be drafted in 2 seconds and sent off to die and you don‚Äôt want to wear a mask to protect your fellow citizens. You are filth,pro,pro
"@TeamPelosi Please put your mask on over your face I‚Äôm so tired of looking at you and listening to your lies, lies, lies. You‚Äôre nothing more than a corrupt hypocrite who will go down in history as such.",pro,pro
@mike_hamm @GregAbbott_TX @amuse There‚Äôs no line for treatment of Covid anywhere   Ppl should be wise &amp; choose to wear a mask when around strangers  But it should be their fckng choice   Young &amp; healthy have little to worry about - healthy child,pro,against
"@SkyyJohn Outside isn‚Äôt too much of an issue, so long as distancing remains in effect, it‚Äôs when you go inside, where there‚Äôs less space, that risks go up. The protestors aren‚Äôt distancing. If you wear a mask, you should wear eye protection. They ",pro,pro
@ShawnShawnperry nope I‚Äôm not wearing a mask because im not going to any store this pass weeks,pro,against
@info36229101 @ajbulthuis @MattWalshBlog Those were two separate statements...in CA we are wearing masks and limiting customers...the second statement is that there are 72 grocery worker deaths across the US.,pro,unrelated
@thedailybeast I‚Äôve tried literally 2 dozen times to find a cute face masks but each time I just get massively depressed.,pro,neutral
